t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
51.0,-0.306,0.061,-4.942,0.058,0.069,2,14,0,0.161,0,0,0.165,-2.904,0.043,-4.958,0.042,0.037,2,14,0,0.169,0,0,0.043,2.598,0.312,0,0,0.169,0.000,0.000,0.000,0.000
52.0,-0.369,0.038,-5.019,-0.019,0.105,2,14,0,0.125,0,0,0.117,-2.888,0.037,-4.978,0.022,0.036,2,14,0,0.121,0,0,0.030,2.519,0.371,0,0,0.125,0.000,0.000,0.000,0.000
53.0,-0.531,0.079,-5.048,-0.048,0.114,2,14,0,0.162,0,0,0.070,-2.866,0.021,-4.924,0.076,0.035,2,14,0,0.131,0,0,0.016,2.339,0.537,0,0,0.162,0.000,0.000,0.000,0.000
54.0,-0.693,0.126,-4.931,0.069,0.050,2,14,0,0.129,0,0,0.230,-2.877,-0.011,-4.963,0.037,0.030,2,14,0,0.126,0,0,0.019,2.188,0.705,0,0,0.129,0.000,0.000,0.000,0.000
55.0,-0.642,0.173,-4.948,0.052,0.070,2,14,0,0.153,0,0,0.191,-2.908,-0.017,-5.017,-0.017,0.015,2,14,0,0.123,0,0,0.039,2.275,0.665,0,0,0.153,0.000,0.000,0.000,0.000
56.0,-0.546,0.180,-4.999,0.001,0.106,2,14,0,0.165,0,0,0.111,-2.863,0.006,-5.032,-0.032,0.011,2,14,0,0.129,0,0,0.016,2.323,0.575,0,0,0.165,0.000,0.000,0.000,0.000
57.0,-0.441,0.149,-5.012,-0.012,0.112,2,14,0,0.150,0,0,0.050,-2.865,0.002,-4.990,0.010,0.012,2,14,0,0.179,0,0,0.015,2.429,0.465,0,0,0.179,0.000,0.000,0.000,0.000
58.0,-0.362,0.091,-5.040,-0.040,0.063,2,14,0,0.170,0,0,0.103,-2.870,0.022,-4.997,0.003,0.007,2,14,0,0.160,0,0,0.016,2.509,0.374,0,0,0.170,0.000,0.000,0.000,0.000
59.0,-0.343,0.056,-4.981,0.019,0.027,2,14,0,0.187,0,0,0.131,-2.833,-0.001,-5.035,-0.035,0.007,2,14,0,0.146,0,0,0.046,2.492,0.347,0,0,0.187,0.000,0.000,0.000,0.000
60.0,-0.388,0.048,-5.049,-0.049,0.062,2,14,0,0.655,0,0,0.096,-2.876,-0.020,-5.050,-0.050,0.022,2,14,0,0.166,0,0,0.029,2.488,0.391,0,0,0.655,0.000,0.000,0.000,0.000
61.0,-0.434,0.063,-5.045,-0.045,0.071,2,14,0,0.152,0,0,0.052,-2.826,0.003,-4.974,0.026,0.018,2,14,0,0.149,0,0,0.052,2.393,0.439,0,0,0.152,0.000,0.000,0.000,0.000
62.0,-0.501,0.078,-4.998,0.002,0.060,2,14,0,0.122,0,0,0.045,-2.799,0.014,-5.005,-0.005,0.034,2,14,0,0.145,0,0,0.081,2.298,0.507,0,0,0.145,0.000,0.000,0.000,0.000
63.0,-0.545,0.105,-4.940,0.060,0.033,2,14,0,0.135,0,0,0.080,-2.921,0.058,-4.980,0.020,0.054,2,14,0,0.126,0,0,0.064,2.377,0.555,0,0,0.135,0.000,0.000,0.000,0.000
64.0,-0.522,0.125,-5.000,-0.000,0.019,2,14,0,0.157,0,0,0.061,-3.093,0.040,-4.970,0.030,0.030,2,14,0,0.122,0,0,0.217,2.573,0.537,0,0,0.157,0.000,0.000,0.000,0.000
65.0,-0.514,0.125,-4.982,0.018,0.014,2,14,0,0.154,0,0,0.053,-3.078,0.031,-4.983,0.017,0.075,2,14,0,0.124,0,0,0.202,2.566,0.529,0,0,0.154,0.000,0.000,0.000,0.000
66.0,-0.455,0.168,-4.930,0.070,0.043,2,14,0,0.244,0,0,0.065,-2.896,-0.017,-5.052,-0.052,0.133,2,14,0,0.177,0,0,0.031,2.451,0.485,0,0,0.244,0.000,0.000,0.000,0.000
